Trainer,Name,Location,Items,Required,Double,Pokemon,Ability,Held Item,Level,Attack 1,Attack 2,Attack 3,Attack 4,IV
rse_cool_trainer_f,Mary,Accuracy Room,[2] X Accuracy,,,Delcatty,Cute Charm,,27,Growl,Attract,Sing,Double Slap,100
rse_cool_trainer_f,Michelle,Victory Road (B1F),[1] Full Restore,,,Nosepass,Sturdy,,42,Thunder Wave,Rock Slide,Sandstorm,Rest,100
,,,,,,Medicham,Pure Power,,42,Mind Reader,Calm Mind,High Jump Kick,Psych Up,100
,,,,,,Ludicolo,Swift Swim,,42,Astonish,Growl,Absorb,Nature Power,100
rse_cool_trainer_f,Shannon,Victory Road (B1F),[1] Full Restore,,,Claydol,Levitate,,44,Ancient Power,Sandstorm,Hyper Beam,Cosmic Power,100
rse_cool_trainer_f,Wendy,Route 123,[1] Full Restore,,,Mawile,Hyper Cutter,,31,Baton Pass,Feint Attack,Fake Tears,Bite,100
,,,,,,Roselia,Natural Cure,,31,Mega Drain,Magical Leaf,Grass Whistle,Leech Seed,100
,,,,,,Pelipper,Keen Eye,,31,Fly,Water Gun,Mist,Protect,100
rse_cool_trainer_m,Albert,Victory Road (1F),[1] Full Restore,,,Manectric,Static,,43,Spark,Odor Sleuth,Roar,Bite,100
,,,,,,Muk,Stench,,43,Sludge,Minimize,Screech,Acid Armor,100
rse_cool_trainer_m,Berke,One-Hit KO Room,[2] Dire Hit,,,Zangoose,Immunity,,27,Swords Dance,Fury Cutter,Slash,Pursuit,100
rse_cool_trainer_m,Clyde,Route 123,[1] Hyper Potion,,,Swellow,Guts,,29,Focus Energy,Quick Attack,Wing Attack,Endeavor,100
,,,,,,Trapinch,Hyper Cutter,,29,Bite,Dig,Feint Attack,Sand Tomb,100
,,,,,,Wailmer,Water Veil,,29,Rollout,Whirlpool,Astonish,Water Pulse,100
,,,,,,Magneton,Magnet Pull,,29,Thunderbolt,Supersonic,Thunder Wave,Sonic Boom,100
,,,,,,Shiftry,Chlorophyll,,29,Giga Drain,Feint Attack,Double Team,Swagger,100
rse_cool_trainer_m,Edgar,Victory Road (1F),[1] Full Restore,,,Cacturne,Sand Veil,,44,Ingrain,Feint Attack,Spikes,Needle Arm,100
rse_cool_trainer_m,George,Recovery Room,[2] Super Potion,,,Linoone,Pickup,,27,Headbutt,Sand Attack,Odor Sleuth,Mud Sport,100
rse_cool_trainer_m,Owen,Victory Road (B2F),[1] Full Restore,,,Kecleon,Color Change,,42,Psybeam,Screech,Slash,Substitute,100
,,,,,,Rhyhorn,Rock Head,,42,Fury Attack,Scary Face,Rock Blast,Horn Drill,100
,,,,,,Tentacruel,Clear Body,,42,Acid,Bubble Beam,Wrap,Barrier,100
rse_cool_trainer_m,Parker,Zero Reduction Room,[2] Guard Spec,,,Linoone,Pickup,,27,Headbutt,Sand Attack,Odor Sleuth,Mud Sport,100
rse_cool_trainer_m,Randall,Speed Room,[2] X Speed,,,Delcatty,Cute Charm,,27,Growl,Attract,Sing,Double Slap,100
rse_cool_trainer_m,Ruben,Route 128,[1] Hyper Potion,,,Shiftry,Chlorophyll,,34,Pound,Harden,Growth,Nature Power,100
,,,,,,Graveler,Rock Head,,34,Rock Throw,Magnitude,Self-Destruct,Rollout,100
,,,,,,Loudred,Soundproof,,34,Astonish,Howl,Supersonic,Stomp,100
rse_cool_trainer_m,Samuel,Victory Road (B1F),[1] Full Restore,,,Dodrio,Run Away,,42,Fury Attack,Tri Attack,Rage,Uproar,100
,,,,,,Lairon,Sturdy,,42,Roar,Take Down,Iron Tail,Protect,100
,,,,,,Kadabra,Synchronize,,42,Recover,Future Sight,Role Play,Psychic,100
rse_cool_trainer_m,Vito,Victory Road (B2F),[1] Full Restore,,,Swellow,Guts,,42,Wing Attack,Double Team,Endeavor,Aerial Ace,100
,,,,,,Kadabra,Synchronize,,42,Recover,Future Sight,Role Play,Psychic,100
,,,,,,Manectric,Static,,42,Spark,Odor Sleuth,Roar,Bite,100
,,,,,,Shiftry,Chlorophyll,,42,Pound,Harden,Growth,Nature Power,100
rse_cool_trainer_m,Warren,Route 133,[1] Full Restore,,,Graveler,Rock Head,,34,Rock Throw,Magnitude,Self-Destruct,Rollout,100
,,,,,,Magcargo,Magma Armor,,34,Ember,Rock Throw,Harden,Amnesia,100
,,,,,,Ludicolo,Swift Swim,,34,Astonish,Growl,Absorb,Nature Power,100
rse_cool_trainer_m,Wilton,Route 111,[1] Super Potion,,,Electrike,Static,,18,Thunder Wave,Leer,Howl,Quick Attack,100
,,,,,,Wailmer,Water Veil,,18,Splash,Growl,Water Gun,Rollout,100
,,,,,,Makuhita,Thick Fat,,18,Focus Energy,Sand Attack,Arm Thrust,Vital Throw,100
rse_cool_trainer_m,Zane,Lavaridge Gym,[1] Hyper Potion,,,Kecleon,Color Change,,24,Flamethrower,Fury Swipes,Feint Attack,Bind,100
rse_courtney,Courtney,Weather Institute (2F),,y,,Numel,Oblivious,,28,Tackle,Ember,Magnitude,Focus Energy,50
,,,,,,Mightyena,Intimidate,,28,Bite,Odor Sleuth,Roar,Swagger,50
rse_courtney,Courtney,Seafloor Cavern (Room 7),,y,,Camerupt,Magma Armor,,38,Take Down,Amnesia,Rock Slide,Earthquake,50
,,,,,,Mightyena,Intimidate,,38,Roar,Swagger,Scary Face,Take Down,50
rse_drake,Drake,Pokémon League,[2] Full Restore,y,,Shelgon,Rock Head,,52,Rock Tomb,Dragon Claw,Protect,Crunch,250
,,,,,,Altaria,Natural Cure,,54,Take Down,Dragon Breath,Dragon Dance,Refresh,250
,,,,,,Flygon,Levitate,,53,Dig,Dragon Breath,Fly,Sandstorm,250
,,,,,,Flygon,Levitate,,53,Flamethrower,Crunch,Dragon Breath,Sand Attack,250
,,,,,,Salamence,Intimidate,Sitrus Berry,55,Flamethrower,Dragon Claw,Fly,Crunch,250
rse_dragon_tamer,Aaron,Route 134,,,,Bagon,Rock Head,,35,Headbutt,Focus Energy,Ember,Dragon Breath,100
rse_dragon_tamer,Nicolas,Meteor Falls,,,,Altaria,Natural Cure,,38,Safeguard,Mist,Take Down,Dragon Breath,100
,,,,,,Altaria,Natural Cure,,38,Safeguard,Mist,Take Down,Dragon Breath,100
rse_expert_f,Shelby,Mt. Chimney,,,,Meditite,Pure Power,,22,Confusion,Detect,Hidden Power,Mind Reader,200
,,,,,,Makuhita,Thick Fat,,22,Arm Thrust,Vital Throw,Fake Out,Whirlwind,200
rse_expert_m,Timothy,Route 115,,,,Hariyama,Thick Fat,,28,Arm Thrust,Vital Throw,Fake Out,Whirlwind,200
rse_fisherman,Andrew,Route 103,,,,Magikarp,Swift Swim,,5,Splash,~,~,~,0
,,,,,,Tentacool,Clear Body,,10,Poison Sting,Supersonic,~,~,0
,,,,,,Magikarp,Swift Swim,,15,Splash,Tackle,~,~,0
rse_fisherman,Barny,Route 118 (East),,,,Carvanha,Rough Skin,,26,Rage,Focus Energy,Scary Face,Crunch,0
,,,,,,Carvanha,Rough Skin,,26,Rage,Focus Energy,Scary Face,Crunch,0
rse_fisherman,Carter,Route 109,,,,Tentacool,Clear Body,,23,Poison Sting,Supersonic,Constrict,Acid,0
,,,,,,Tentacool,Clear Body,,24,Poison Sting,Supersonic,Constrict,Acid,0
,,,,,,Wailmer,Water Veil,,24,Water Gun,Rollout,Whirlpool,Astonish,0
,,,,,,Tentacool,Clear Body,,25,Supersonic,Constrict,Acid,Bubble Beam,0
rse_fisherman,Claude,Route 114,,,,Goldeen,Swift Swim,,16,Tail Whip,Water Sport,Supersonic,Horn Attack,0
,,,,,,Goldeen,Swift Swim,,16,Tail Whip,Water Sport,Supersonic,Horn Attack,0
,,,,,,Barboach,Oblivious,,18,Mud Sport,Water Sport,Water Gun,Magnitude,0
,,,,,,Goldeen,Swift Swim,,16,Tail Whip,Water Sport,Supersonic,Horn Attack,0
rse_fisherman,Dale,Route 110,,,,Tentacool,Clear Body,,12,Poison Sting,Supersonic,Constrict,~,0
,,,,,,Wailmer,Water Veil,,15,Splash,Growl,Water Gun,Rollout,0
,,,,,,Tentacool,Clear Body,,9,Poison Sting,Supersonic,~,~,0
,,,,,,Tentacool,Clear Body,,12,Poison Sting,Supersonic,Constrict,~,0
rse_fisherman,Elliot,Route 106,,,,Magikarp,Swift Swim,,11,Splash,~,~,~,0
,,,,,,Tentacool,Clear Body,,8,Poison Sting,Supersonic,~,~,0
,,,,,,Magikarp,Swift Swim,,11,Splash,~,~,~,0
rse_fisherman,Eugene,Route 119,,,,Magikarp,Swift Swim,,30,Splash,Tackle,Flail,~,0
,,,,,,Tentacool,Clear Body,,21,Poison Sting,Supersonic,Constrict,Acid,0
,,,,,,Feebas,Swift Swim,,27,Splash,Tackle,~,~,0
,,,,,,Carvanha,Rough Skin,,24,Rage,Focus Energy,Scary Face,Crunch,0
rse_fisherman,Henry,Route 127,,,,Tentacool,Clear Body,,31,Constrict,Acid,Bubble Beam,Wrap,0
,,,,,,Carvanha,Rough Skin,,33,Scary Face,Crunch,Screech,Take Down,0
,,,,,,Tentacruel,Clear Body,,35,Constrict,Acid,Bubble Beam,Wrap,0
rse_fisherman,Ivan,Route 104,,,,Magikarp,Swift Swim,,6,Splash,~,~,~,0
,,,,,,Magikarp,Swift Swim,,6,Splash,~,~,~,0
,,,,,,Magikarp,Swift Swim,,6,Splash,~,~,~,0
rse_fisherman,Jonah,Route 127,,,,Wailmer,Water Veil,,34,Whirlpool,Astonish,Water Pulse,Mist,0
,,,,,,Tentacool,Clear Body,,32,Constrict,Acid,Bubble Beam,Wrap,0
,,,,,,Wailmer,Water Veil,,30,Rollout,Whirlpool,Astonish,Water Pulse,0
,,,,,,Sharpedo,Rough Skin,,32,Focus Energy,Scary Face,Crunch,Screech,0
rse_fisherman,Ned,Route 106,,,,Tentacool,Clear Body,,12,Poison Sting,Supersonic,Constrict,~,0
rse_fisherman,Nolan,Route 114,,,,Barboach,Oblivious,,20,Mud Sport,Water Sport,Water Gun,Magnitude,0
rse_fisherman,Roger,Route 127,,,,Magikarp,Swift Swim,,15,Splash,Tackle,~,~,0
,,,,,,Magikarp,Swift Swim,,25,Splash,Tackle,~,~,0
,,,,,,Gyarados,Intimidate,,35,Bite,Dragon Rage,Leer,Twister,0
,,,,,,Magikarp,Swift Swim,,45,Splash,Tackle,Flail,~,0
rse_fisherman,Ronald,Route 132,,,,Gyarados,Intimidate,,34,Thrash,Bite,Dragon Rage,Leer,0
,,,,,,Gyarados,Intimidate,,29,Thrash,Bite,Dragon Rage,~,0
,,,,,,Gyarados,Intimidate,,25,Thrash,Bite,Dragon Rage,~,0
,,,,,,Gyarados,Intimidate,,22,Thrash,Bite,~,~,0
,,,,,,Gyarados,Intimidate,,20,Thrash,Bite,~,~,0
,,,,,,Magikarp,Swift Swim,,19,Splash,Tackle,~,~,0
rse_fisherman,Wade,Route 118 (West),,,,Carvanha,Rough Skin,,17,Leer,Rage,Focus Energy,Scary Face,0
rse_fisherman,Wayne,Route 128,,,,Tentacool,Clear Body,,30,Constrict,Acid,Bubble Beam,Wrap,0
,,,,,,Tentacool,Clear Body,,30,Constrict,Acid,Bubble Beam,Wrap,0
,,,,,,Wailmer,Water Veil,,35,Whirlpool,Astonish,Water Pulse,Mist,0
,,,,,,Tentacruel,Clear Body,,32,Constrict,Acid,Bubble Beam,Wrap,0
rse_flannery,Flannery,Lavaridge Gym,[2] Hyper Potion,y,,Slugma,Magma Armor,,26,Overheat,Smog,Light Screen,Sunny Day,200
,,,,,,Slugma,Magma Armor,,26,Flamethrower,Rock Slide,Light Screen,Sunny Day,200
,,,,,,Torkoal,White Smoke,,28,Overheat,Body Slam,Flail,Attract,250
rse_gentleman,Walter,Route 121,,,,Manectric,Static,,31,Quick Attack,Spark,Odor Sleuth,Roar,0
rse_glacia,Glacia,Pokémon League,[2] Full Restore,y,,Glalie,Inner Focus,,50,Light Screen,Crunch,Hail,Ice Beam,250
,,,,,,Sealeo,Thick Fat,,50,Surf,Body Slam,Hail,Ice Ball,250
,,,,,,Sealeo,Thick Fat,,52,Attract,Dive,Hail,Blizzard,250
,,,,,,Glalie,Inner Focus,,52,Shadow Ball,Crunch,Hail,Ice Beam,250
,,,,,,Walrein,Thick Fat,Sitrus Berry,53,Surf,Body Slam,Blizzard,Sheer Cold,255
